epoch;train/box_loss;train/cls_loss;train/dfl_loss;metrics/precision(B);metrics/recall(B);metrics/mAP50(B);metrics/mAP50-95(B);val/box_loss;val/cls_loss;val/dfl_loss;lr/pg0;lr/pg1;lr/pg2
45;1.2375;0.85146;1.049;0.82903;0.79672;0.86923;0.68132;0.65399;0.52164;0.80788;0.001585;0.001585;0.001585
46;1.2347;0.844;1.0483;0.81574;0.82456;0.86966;0.68543;0.65671;0.52581;0.81116;0.0015256;0.0015256;0.0015256
47;1.2276;0.83279;1.0429;0.83596;0.79545;0.86625;0.68105;0.66036;0.52982;0.81198;0.0014661;0.0014661;0.0014661
48;1.2204;0.8309;1.0383;0.82599;0.80232;0.85877;0.67854;0.66001;0.52621;0.81048;0.0014067;0.0014067;0.0014067
49;1.2188;0.83097;1.033;0.81753;0.80438;0.86215;0.67861;0.66118;0.52912;0.81101;0.0013473;0.0013473;0.0013473
50;1.2151;0.83023;1.0361;0.82222;0.79211;0.85917;0.67666;0.64681;0.51705;0.80674;0.0012878;0.0012878;0.0012878
51;1.204;0.81088;1.0278;0.8393;0.78073;0.86589;0.68431;0.64509;0.51757;0.80613;0.0012284;0.0012284;0.0012284
52;1.2128;0.8144;1.0324;0.83411;0.78681;0.86007;0.67738;0.64843;0.52037;0.80788;0.001169;0.001169;0.001169
53;1.2022;0.8104;1.0274;0.85288;0.7808;0.87031;0.68742;0.65287;0.51853;0.80675;0.0011095;0.0011095;0.0011095
54;1.1966;0.806;1.0271;0.83502;0.7919;0.8702;0.685;0.65226;0.5131;0.80669;0.0010501;0.0010501;0.0010501
55;1.1926;0.79893;1.021;0.85128;0.78915;0.8719;0.68975;0.65195;0.5157;0.80758;0.00099068;0.00099068;0.00099068
56;1.1867;0.79512;1.0235;0.83142;0.79598;0.87247;0.68688;0.65355;0.51426;0.8062;0.00093125;0.00093125;0.00093125
57;1.1803;0.7872;1.018;0.84894;0.79651;0.87329;0.69006;0.65071;0.51216;0.80545;0.00087182;0.00087182;0.00087182
58;1.177;0.79228;1.0127;0.82471;0.80081;0.87186;0.68883;0.64699;0.50901;0.80437;0.00081239;0.00081239;0.00081239
59;1.1731;0.78585;1.0128;0.82637;0.8134;0.87418;0.68786;0.65058;0.51048;0.80485;0.00075296;0.00075296;0.00075296
60;1.1703;0.77681;1.011;0.84189;0.81081;0.87283;0.69199;0.64944;0.50889;0.80559;0.00069352;0.00069352;0.00069352
61;1.1467;0.76459;1.0426;0.84426;0.8047;0.87986;0.69468;0.65278;0.51094;0.80514;0.00063409;0.00063409;0.00063409
62;1.1345;0.75416;1.0417;0.83364;0.80069;0.8737;0.69144;0.65503;0.50824;0.80634;0.00057466;0.00057466;0.00057466
63;1.1253;0.74353;1.0367;0.83205;0.82148;0.8739;0.69156;0.6563;0.50333;0.80498;0.00051523;0.00051523;0.00051523
64;1.122;0.73562;1.0326;0.81861;0.82039;0.87304;0.68862;0.65619;0.50596;0.80432;0.0004558;0.0004558;0.0004558
65;1.1058;0.72996;1.0227;0.81841;0.8158;0.86773;0.68809;0.65286;0.50539;0.80381;0.00039636;0.00039636;0.00039636
66;1.1063;0.72498;1.0235;0.83116;0.79929;0.86511;0.68437;0.65486;0.50587;0.80367;0.00033693;0.00033693;0.00033693
67;1.0985;0.71875;1.0172;0.85493;0.77931;0.86659;0.68547;0.65596;0.50658;0.8039;0.0002775;0.0002775;0.0002775
68;1.0984;0.71868;1.0179;0.83337;0.79278;0.8674;0.68324;0.65476;0.50388;0.80324;0.00021807;0.00021807;0.00021807
69;1.0956;0.71865;1.0163;0.82434;0.80113;0.86876;0.68392;0.65602;0.50395;0.80321;0.00015864;0.00015864;0.00015864
70;1.0889;0.71181;1.0115;0.80609;0.81463;0.86747;0.68473;0.65438;0.50353;0.80301;9.92E-05;9.92E-05;9.92E-05
