fitness,lr0,lrf,momentum,weight_decay,warmup_epochs,warmup_momentum,box,cls,dfl,hsv_h,hsv_s,hsv_v,degrees,translate,scale,shear,perspective,flipud,fliplr,mosaic,mixup,copy_paste
0.45302,0.01,0.01,0.937,0.0005,3.0,0.8,7.5,0.5,1.5,0.015,0.7,0.4,0.0,0.1,0.5,0.0,0.0,0.0,0.5,1.0,0.0,0.0
0.4434,0.0103,0.01088,0.951,0.00055,3.28921,0.86074,7.5,0.5,1.31487,0.01614,0.58855,0.4,0.0,0.07391,0.5,0.0,0.0,0.0,0.46869,1.0,0.0,0.0
0.44869,0.01027,0.00968,0.93449,0.0005,3.0,0.80433,7.25764,0.45117,1.5,0.01468,0.69561,0.40812,0.0,0.10004,0.48846,0.0,0.0,0.0,0.5,1.0,0.0,0.0
0.43805,0.00983,0.01,0.93212,0.00047,3.05679,0.78145,7.26304,0.49465,1.59522,0.01482,0.7,0.38457,0.0,0.09751,0.50489,0.0,0.0,0.0,0.51242,1.0,0.0,0.0
0.44934,0.01048,0.00953,0.9435,0.00049,2.95234,0.81736,6.93549,0.44136,1.47476,0.01537,0.71031,0.41517,0.0,0.10487,0.48725,0.0,0.0,0.0,0.55107,1.0,0.0,0.0
0.45508,0.01138,0.01032,0.93449,0.00036,3.0,0.80433,7.24495,0.45117,1.55835,0.01406,0.68484,0.40448,0.0,0.09946,0.51998,0.0,0.0,0.0,0.51114,0.96336,0.0,0.0
0.45111,0.01081,0.00887,0.93127,0.0005,2.80826,0.80079,7.25764,0.41105,1.49247,0.01477,0.70389,0.36856,0.0,0.09938,0.44885,0.0,0.0,0.0,0.51631,1.0,0.0,0.0
0.45362,0.01089,0.00957,0.93962,0.0005,2.79526,0.71908,7.25764,0.42043,1.49247,0.0149,0.70389,0.36856,0.0,0.10041,0.44878,0.0,0.0,0.0,0.49793,1.0,0.0,0.0
0.4532,0.01089,0.00957,0.94846,0.00046,2.9831,0.6693,7.34747,0.44556,1.47598,0.01466,0.74203,0.38591,0.0,0.10223,0.4693,0.0,0.0,0.0,0.52135,1.0,0.0,0.0
0.4464,0.01138,0.01032,0.93449,0.00036,3.53465,0.8334,5.01958,0.51479,1.55835,0.01441,0.80376,0.29548,0.0,0.09946,0.51998,0.0,0.0,0.0,0.51114,1.0,0.0,0.0
0.45096,0.01026,0.00996,0.95304,0.0005,3.19411,0.83858,7.30839,0.5,1.47905,0.0153,0.71538,0.38724,0.0,0.10232,0.50379,0.0,0.0,0.0,0.5,1.0,0.0,0.0
0.44768,0.01131,0.00902,0.98,0.00048,2.9831,0.70594,8.22983,0.43648,1.47598,0.01534,0.74203,0.37542,0.0,0.08332,0.45963,0.0,0.0,0.0,0.52954,0.87213,0.0,0.0
0.44748,0.01424,0.00863,0.94742,0.00041,2.55586,0.59747,8.07862,0.45117,1.55835,0.01399,0.61592,0.41258,0.0,0.09819,0.58626,0.0,0.0,0.0,0.47567,0.96336,0.0,0.0
0.45215,0.00935,0.01088,0.95841,0.00053,3.0,0.6895,7.11858,0.58288,1.5,0.01642,0.62703,0.30962,0.0,0.10375,0.52134,0.0,0.0,0.0,0.5,0.83,0.0,0.0
0.46274,0.00858,0.00968,0.98,0.00027,2.8584,0.81956,7.25992,0.44267,1.55835,0.01504,0.88726,0.35724,0.0,0.09251,0.51998,0.0,0.0,0.0,0.37639,0.96336,0.0,0.0
0.44475,0.00834,0.00878,0.98,0.00027,2.21853,0.79691,6.79338,0.44267,1.97125,0.01353,0.88726,0.42154,0.0,0.11246,0.61529,0.0,0.0,0.0,0.48464,0.96336,0.0,0.0
0.44785,0.01063,0.00925,0.92527,0.00051,2.90686,0.71908,7.33086,0.42043,1.49247,0.01504,0.70472,0.36193,0.0,0.10135,0.47054,0.0,0.0,0.0,0.47273,0.98689,0.0,0.0
