fitness,lr0,lrf,momentum,weight_decay,warmup_epochs,warmup_momentum,box,cls,dfl,hsv_h,hsv_s,hsv_v,degrees,translate,scale,shear,perspective,flipud,fliplr,mosaic,mixup,copy_paste
0.44833,0.01,0.01,0.937,0.0005,3.0,0.8,7.5,0.5,1.5,0.015,0.7,0.4,0.0,0.1,0.5,0.0,0.0,0.0,0.5,1.0,0.0,0.0
0.46537,0.01002,0.00996,0.93746,0.0005,3.00611,0.7975,7.5,0.5,1.48997,0.0149,0.70846,0.39598,0.0,0.10002,0.49856,0.0,0.0,0.0,0.49831,0.99104,0.0,0.0
0.4496,0.01002,0.00991,0.93746,0.00049,3.00611,0.81521,7.5,0.50853,1.4807,0.01486,0.64078,0.38628,0.0,0.10002,0.49246,0.0,0.0,0.0,0.48636,0.9671,0.0,0.0
0.46762,0.00762,0.01164,0.95131,0.00044,3.00611,0.85691,6.11393,0.54333,1.58686,0.0149,0.58149,0.47212,0.0,0.08113,0.49945,0.0,0.0,0.0,0.35389,0.69724,0.0,0.0
0.44869,0.01026,0.00996,0.98,0.0005,3.45081,0.78643,7.15063,0.62848,1.3141,0.01567,0.71067,0.41822,0.0,0.10325,0.42478,0.0,0.0,0.0,0.48351,0.91232,0.0,0.0
0.46606,0.00724,0.0117,0.93802,0.00043,3.12835,0.8948,5.92576,0.54333,1.63795,0.01337,0.62777,0.47212,0.0,0.08041,0.48887,0.0,0.0,0.0,0.37606,0.68185,0.0,0.0
0.458,0.00762,0.00903,0.9405,0.0005,3.00611,0.67085,6.24733,0.45246,1.01435,0.01602,0.55432,0.44473,0.0,0.08113,0.51782,0.0,0.0,0.0,0.43755,0.81185,0.0,0.0
0.46271,0.00755,0.00903,0.94144,0.0005,3.02532,0.66887,6.28497,0.45246,1.01435,0.01617,0.55467,0.44357,0.0,0.08098,0.52111,0.0,0.0,0.0,0.44006,0.81846,0.0,0.0
0.4727,0.005,0.01199,0.94453,0.00062,3.31821,0.66887,6.28497,0.4468,1.17411,0.01617,0.55467,0.42728,0.0,0.07785,0.52111,0.0,0.0,0.0,0.43868,0.81846,0.0,0.0
0.45629,0.00717,0.0117,0.94272,0.00043,3.12835,0.8948,5.9688,0.54105,1.60018,0.01337,0.61636,0.46207,0.0,0.08368,0.48431,0.0,0.0,0.0,0.3846,0.67293,0.0,0.0
0.46487,0.00787,0.01048,0.95131,0.00053,2.88782,0.75506,6.11393,0.43807,1.70885,0.01287,0.45266,0.47212,0.0,0.06289,0.49304,0.0,0.0,0.0,0.3833,0.69811,0.0,0.0
0.46082,0.00775,0.01181,0.95628,0.00044,3.00152,0.87163,6.29883,0.54333,1.535,0.01513,0.58149,0.48553,0.0,0.08019,0.50318,0.0,0.0,0.0,0.35676,0.68715,0.0,0.0
0.47369,0.00409,0.01199,0.92081,0.00058,2.7007,0.95,5.9233,0.4468,0.5217,0.01617,0.48369,0.28848,0.0,0.08715,0.77783,0.0,0.0,0.0,0.48304,0.81566,0.0,0.0
0.46241,0.00938,0.01124,0.95893,0.00047,3.06257,0.74121,6.27328,0.54333,1.63795,0.01781,0.49465,0.41623,0.0,0.06991,0.57036,0.0,0.0,0.0,0.42502,0.79329,0.0,0.0
0.46242,0.00423,0.01199,0.90528,0.00057,2.59956,0.93092,5.98457,0.47456,0.54467,0.01624,0.48369,0.31578,0.0,0.07275,0.75928,0.0,0.0,0.0,0.53065,0.88522,0.0,0.0
0.46655,0.00409,0.0128,0.96726,0.00056,2.47101,0.87069,5.85313,0.38214,0.46861,0.01555,0.48369,0.28747,0.0,0.10537,0.46097,0.0,0.0,0.0,0.56619,0.81566,0.0,0.0
0.46431,0.00415,0.01199,0.90673,0.0006,2.61495,0.95,6.65941,0.4468,0.51625,0.0155,0.49944,0.26629,0.0,0.08715,0.73526,0.0,0.0,0.0,0.50718,0.82829,0.0,0.0
0.46774,0.00409,0.01195,0.92026,0.00058,2.7007,0.94475,5.9233,0.44458,0.5217,0.01617,0.48014,0.28794,0.0,0.08656,0.77478,0.0,0.0,0.0,0.48735,0.81566,0.0,0.0
0.47287,0.00418,0.01186,0.92665,0.00058,2.72102,0.95,5.9233,0.43545,0.52114,0.01561,0.4788,0.28848,0.0,0.08757,0.79591,0.0,0.0,0.0,0.47542,0.84264,0.0,0.0
0.47132,0.005,0.01199,0.94453,0.00062,3.74261,0.65678,6.88399,0.40504,1.07453,0.01905,0.504,0.47421,0.0,0.06625,0.51496,0.0,0.0,0.0,0.45225,0.66172,0.0,0.0
0.4649,0.005,0.01199,0.92586,0.00056,4.04933,0.55693,5.37338,0.4468,1.3478,0.0203,0.49599,0.42728,0.0,0.0957,0.52111,0.0,0.0,0.0,0.47116,0.92579,0.0,0.0
0.47446,0.00421,0.00947,0.94664,0.00062,3.31821,0.68142,5.86589,0.4468,1.17411,0.01715,0.53542,0.47058,0.0,0.07918,0.56154,0.0,0.0,0.0,0.34582,0.89872,0.0,0.0
0.46525,0.00421,0.0087,0.92131,0.0007,3.60706,0.72646,6.02839,0.40746,1.12378,0.01715,0.59224,0.4213,0.0,0.08032,0.59368,0.0,0.0,0.0,0.34992,0.9165,0.0,0.0
0.47033,0.00396,0.00947,0.88816,0.00063,3.12175,0.66913,6.12289,0.39225,1.17411,0.01387,0.53236,0.47445,0.0,0.07916,0.55545,0.0,0.0,0.0,0.36162,0.89872,0.0,0.0
0.46491,0.00384,0.01234,0.93492,0.00058,2.61544,0.93775,5.8122,0.46413,0.50623,0.01713,0.51448,0.31086,0.0,0.08687,0.76355,0.0,0.0,0.0,0.49221,0.82474,0.0,0.0
0.46671,0.00415,0.01186,0.92289,0.00058,2.71883,0.94893,5.95323,0.4341,0.51899,0.0158,0.48069,0.2878,0.0,0.08893,0.78819,0.0,0.0,0.0,0.48259,0.82955,0.0,0.0
0.46602,0.00418,0.01044,0.90381,0.00061,2.72102,0.95,6.14296,0.41518,0.57323,0.01963,0.51099,0.28848,0.0,0.07312,0.79591,0.0,0.0,0.0,0.42205,0.89378,0.0,0.0
0.469,0.0039,0.01216,0.93414,0.00058,2.75381,0.95,5.96239,0.44241,0.52095,0.01617,0.51933,0.27201,0.0,0.09442,0.79156,0.0,0.0,0.0,0.4973,0.81566,0.0,0.0
0.47727,0.00421,0.00782,0.87524,0.00068,3.13808,0.65011,5.73347,0.40457,1.21403,0.01782,0.43142,0.49349,0.0,0.06845,0.56154,0.0,0.0,0.0,0.34582,1.0,0.0,0.0
0.47565,0.00415,0.00771,0.87222,0.00068,3.17945,0.65033,5.76364,0.4076,1.17699,0.01795,0.43068,0.49491,0.0,0.06967,0.56154,0.0,0.0,0.0,0.34451,1.0,0.0,0.0
0.46923,0.00505,0.00782,0.87524,0.00068,3.17549,0.56747,5.38928,0.34418,1.33469,0.01782,0.43142,0.38341,0.0,0.06845,0.56154,0.0,0.0,0.0,0.34582,1.0,0.0,0.0
0.46699,0.00362,0.00681,0.87524,0.00067,3.16122,0.72479,6.13517,0.36471,1.29464,0.01556,0.43142,0.41095,0.0,0.07025,0.64444,0.0,0.0,0.0,0.32179,0.99696,0.0,0.0
0.45954,0.00435,0.01054,0.88463,0.00062,2.88059,0.52702,4.75656,0.31897,1.13393,0.01587,0.47743,0.34578,0.0,0.08528,0.65172,0.0,0.0,0.0,0.3783,0.8394,0.0,0.0
0.46305,0.00422,0.00825,0.92352,0.0008,3.94241,0.61605,5.07498,0.4554,1.55147,0.01447,0.43142,0.49349,0.0,0.05981,0.29221,0.0,0.0,0.0,0.34582,0.99406,0.0,0.0
0.47058,0.00421,0.00452,0.87524,0.00056,3.51524,0.41404,7.74153,0.39748,1.69762,0.01716,0.43142,0.60602,0.0,0.07461,0.35326,0.0,0.0,0.0,0.34582,0.77455,0.0,0.0
0.47234,0.00366,0.00886,0.87524,0.00068,3.07559,0.65011,5.73347,0.42131,1.3513,0.01565,0.39868,0.49349,0.0,0.07185,0.52183,0.0,0.0,0.0,0.39314,0.96218,0.0,0.0
