                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.6791,                 1.2641,                 1.3507,                0.78915,                0.75965,                0.82502,                0.62023,                0.88786,                0.73232,                0.99501,              0.0051914,              0.0051914,              0.0051914
                     36,                  1.682,                 1.2631,                 1.3473,                0.80468,                0.74711,                0.82943,                0.62443,                0.88304,                0.72081,                0.99301,                0.00505,                0.00505,                0.00505
                     37,                 1.6709,                 1.2509,                 1.3452,                0.81147,                0.73619,                0.82485,                0.62034,                0.88691,                0.73672,                0.99195,              0.0049086,              0.0049086,              0.0049086
                     38,                  1.666,                 1.2435,                  1.342,                0.81462,                0.77121,                0.83444,                0.62544,                 0.8787,                0.71834,                0.99436,              0.0047671,              0.0047671,              0.0047671
                     39,                 1.6603,                 1.2329,                 1.3364,                0.83293,                0.76317,                0.84565,                0.63816,                0.86422,                0.70304,                0.98266,              0.0046257,              0.0046257,              0.0046257
                     40,                 1.6517,                 1.2165,                 1.3325,                0.80393,                0.77181,                0.84515,                0.64112,                 0.8554,                0.69477,                0.97806,              0.0044843,              0.0044843,              0.0044843
                     41,                 1.6419,                 1.2109,                 1.3248,                 0.8068,                0.77906,                0.84181,                0.64036,                0.86012,                0.69815,                0.98097,              0.0043429,              0.0043429,              0.0043429
                     42,                 1.6317,                 1.1979,                 1.3121,                0.80657,                0.78028,                0.85003,                0.64513,                0.85536,                0.69994,                0.97259,              0.0042014,              0.0042014,              0.0042014
                     43,                 1.6338,                 1.1968,                 1.3152,                0.80641,                0.77222,                0.84901,                0.64286,                0.85888,                0.69615,                0.97176,                0.00406,                0.00406,                0.00406
                     44,                 1.6208,                 1.1785,                 1.3061,                  0.832,                 0.7682,                0.85033,                0.64445,                0.84625,                0.68647,                 0.9664,              0.0039186,              0.0039186,              0.0039186
                     45,                 1.6279,                 1.1816,                 1.3113,                 0.8072,                0.77674,                 0.8512,                0.64786,                0.84826,                0.68418,                0.96948,              0.0037771,              0.0037771,              0.0037771
                     46,                  1.612,                 1.1686,                 1.3031,                0.80405,                0.77169,                0.85253,                0.64724,                0.84789,                 0.6826,                0.96651,              0.0036357,              0.0036357,              0.0036357
                     47,                 1.6055,                 1.1554,                 1.2938,                0.83122,                0.75467,                0.84635,                0.64623,                0.85094,                0.68221,                0.96843,              0.0034943,              0.0034943,              0.0034943
                     48,                 1.6035,                 1.1475,                 1.2936,                 0.8236,                0.77145,                0.85221,                 0.6533,                0.84507,                0.67546,                0.96295,              0.0033529,              0.0033529,              0.0033529
                     49,                 1.5997,                 1.1465,                 1.2916,                0.81358,                0.77331,                0.85552,                0.65043,                0.84274,                0.67635,                0.96229,              0.0032114,              0.0032114,              0.0032114
                     50,                 1.5849,                 1.1321,                   1.28,                0.80843,                 0.7887,                0.85807,                0.65612,                0.82952,                0.66916,                0.95866,                0.00307,                0.00307,                0.00307
                     51,                 1.5846,                 1.1244,                 1.2831,                 0.8319,                0.77104,                0.86058,                0.65434,                0.83876,                0.67259,                0.95884,              0.0029286,              0.0029286,              0.0029286
                     52,                 1.5776,                 1.1208,                 1.2747,                0.84119,                 0.7669,                0.86061,                0.65545,                0.83763,                0.66776,                0.95751,              0.0027871,              0.0027871,              0.0027871
                     53,                 1.5824,                 1.1191,                 1.2819,                0.85096,                0.76507,                0.86366,                0.65832,                0.83662,                0.66826,                 0.9588,              0.0026457,              0.0026457,              0.0026457
                     54,                  1.573,                 1.1054,                 1.2748,                0.84765,                0.76188,                0.86402,                0.65979,                0.83565,                0.65946,                0.95501,              0.0025043,              0.0025043,              0.0025043
                     55,                 1.5631,                 1.1032,                 1.2662,                0.82737,                 0.7722,                0.86039,                0.65625,                0.83299,                0.66389,                0.95426,              0.0023629,              0.0023629,              0.0023629
                     56,                 1.5536,                 1.0924,                 1.2631,                0.81301,                0.79321,                0.86235,                0.65987,                0.82954,                0.65955,                0.95457,              0.0022214,              0.0022214,              0.0022214
                     57,                 1.5534,                 1.0912,                 1.2598,                0.84091,                0.77394,                0.86194,                0.65962,                 0.8361,                0.66031,                 0.9546,                0.00208,                0.00208,                0.00208
                     58,                 1.5476,                 1.0792,                 1.2566,                0.81708,                0.78768,                 0.8591,                0.65708,                0.82996,                   0.66,                0.95353,              0.0019386,              0.0019386,              0.0019386
                     59,                 1.5424,                 1.0755,                 1.2569,                0.83751,                0.76011,                0.85627,                 0.6567,                0.82446,                0.66099,                0.95199,              0.0017971,              0.0017971,              0.0017971
                     60,                 1.5336,                 1.0687,                 1.2428,                0.83447,                0.77917,                0.85766,                0.65768,                0.82699,                0.66322,                0.94946,              0.0016557,              0.0016557,              0.0016557
                     61,                  1.512,                 1.0433,                 1.2853,                0.85288,                0.75693,                0.86067,                0.65734,                 0.8315,                 0.6611,                 0.9522,              0.0015143,              0.0015143,              0.0015143
                     62,                 1.4936,                 1.0184,                 1.2772,                0.83512,                0.76911,                0.85688,                0.65615,                0.83214,                0.66225,                0.95197,              0.0013729,              0.0013729,              0.0013729
                     63,                 1.4826,                 1.0085,                 1.2721,                0.83692,                0.76756,                0.85551,                0.65669,                0.83167,                0.65944,                0.95109,              0.0012314,              0.0012314,              0.0012314
                     64,                 1.4683,                0.99656,                 1.2615,                0.84783,                0.76137,                 0.8573,                0.65554,                0.83572,                0.65711,                0.95223,                0.00109,                0.00109,                0.00109
                     65,                 1.4578,                0.99079,                 1.2541,                0.82145,                0.78316,                0.85925,                0.65728,                0.83471,                0.65385,                0.95098,             0.00094857,             0.00094857,             0.00094857
                     66,                 1.4579,                0.98144,                 1.2563,                0.82443,                0.77908,                0.85902,                0.65723,                0.83397,                0.65309,                0.95033,             0.00080714,             0.00080714,             0.00080714
                     67,                 1.4476,                 0.9742,                 1.2495,                0.82851,                0.77377,                0.85738,                 0.6548,                0.83465,                0.65213,                0.95045,             0.00066571,             0.00066571,             0.00066571
                     68,                 1.4432,                0.97571,                  1.248,                0.82619,                0.76955,                0.85693,                0.65507,                0.83367,                0.65304,                0.94948,             0.00052429,             0.00052429,             0.00052429
                     69,                 1.4414,                0.96751,                 1.2476,                  0.826,                0.76908,                0.85506,                0.65433,                0.83645,                  0.654,                 0.9501,             0.00038286,             0.00038286,             0.00038286
                     70,                 1.4288,                0.96267,                   1.24,                0.82029,                0.77025,                0.85603,                  0.655,                0.83645,                0.65443,                0.94959,             0.00024143,             0.00024143,             0.00024143
