fitness,lr0,lrf,momentum,weight_decay,warmup_epochs,warmup_momentum,box,cls,dfl,hsv_h,hsv_s,hsv_v,degrees,translate,scale,shear,perspective,flipud,fliplr,mosaic,mixup,copy_paste
0.29814,0.01,0.01,0.937,0.0005,3.0,0.8,7.5,0.5,1.5,0.015,0.7,0.4,0.0,0.1,0.5,0.0,0.0,0.0,0.5,1.0,0.0,0.0
0.29079,0.00869,0.01028,0.90534,0.00058,2.02532,0.91698,7.89746,0.51427,1.7393,0.01501,0.7,0.45478,0.0,0.1,0.64391,0.0,0.0,0.0,0.498,0.73962,0.0,0.0
0.29777,0.01,0.01051,0.93355,0.00047,3.0,0.8,7.94289,0.49398,1.34126,0.01369,0.67966,0.48991,0.0,0.09918,0.45574,0.0,0.0,0.0,0.47474,1.0,0.0,0.0
0.29111,0.00987,0.01,0.93515,0.0005,2.52281,0.7291,7.52513,0.43931,1.5,0.01719,0.57548,0.4,0.0,0.10024,0.5,0.0,0.0,0.0,0.50453,1.0,0.0,0.0
0.28089,0.01203,0.01039,0.93201,0.00048,3.0,0.8,7.85259,0.49398,1.51339,0.01364,0.71572,0.48991,0.0,0.09918,0.45574,0.0,0.0,0.0,0.47474,1.0,0.0,0.0
0.28695,0.00875,0.01032,0.90779,0.00058,2.02991,0.92152,7.91544,0.51481,1.73931,0.01501,0.70467,0.45355,0.0,0.09938,0.64579,0.0,0.0,0.0,0.49979,0.73962,0.0,0.0
0.28493,0.01,0.01018,0.937,0.00048,2.99656,0.79789,7.70249,0.49476,1.5,0.0147,0.7,0.40814,0.0,0.0991,0.50581,0.0,0.0,0.0,0.5,1.0,0.0,0.0
0.29724,0.01,0.01344,0.90781,0.00047,2.59701,0.87256,6.62737,0.41497,1.17961,0.01369,0.67966,0.56369,0.0,0.10305,0.37131,0.0,0.0,0.0,0.47472,1.0,0.0,0.0
0.29734,0.01064,0.01265,0.83465,0.00049,2.73778,0.92787,7.92009,0.44924,1.17961,0.01574,0.66272,0.56369,0.0,0.0946,0.40159,0.0,0.0,0.0,0.50121,1.0,0.0,0.0
0.30364,0.01064,0.01332,0.84601,0.0005,2.71913,0.92787,7.89072,0.44608,1.23362,0.01568,0.64127,0.61124,0.0,0.09232,0.40159,0.0,0.0,0.0,0.5561,1.0,0.0,0.0
0.29444,0.01064,0.01332,0.84767,0.0005,2.64008,0.92541,7.89072,0.44259,1.2184,0.01613,0.62949,0.60145,0.0,0.0939,0.39887,0.0,0.0,0.0,0.5561,1.0,0.0,0.0
0.29823,0.0105,0.01349,0.82804,0.00051,3.21676,0.88467,7.44418,0.49139,1.23362,0.01346,0.52755,0.64733,0.0,0.09232,0.43447,0.0,0.0,0.0,0.53322,0.95706,0.0,0.0
0.2809,0.01011,0.01051,0.92805,0.00047,3.01188,0.8,7.94122,0.49398,1.35546,0.01355,0.68227,0.4944,0.0,0.10163,0.45574,0.0,0.0,0.0,0.48432,1.0,0.0,0.0
0.29243,0.01116,0.01235,0.8555,0.00059,2.71913,0.92787,7.86274,0.43306,1.25533,0.01568,0.65017,0.58453,0.0,0.08864,0.41633,0.0,0.0,0.0,0.5561,1.0,0.0,0.0
0.29208,0.01064,0.0128,0.84601,0.00048,3.35435,0.83442,8.07669,0.3949,1.09919,0.01568,0.5784,0.77641,0.0,0.09143,0.41629,0.0,0.0,0.0,0.47004,1.0,0.0,0.0
0.28662,0.01157,0.01043,0.86271,0.00042,3.1349,0.95,8.78079,0.44608,1.22868,0.01353,0.47666,0.47774,0.0,0.10029,0.40159,0.0,0.0,0.0,0.5561,0.90786,0.0,0.0
0.292,0.0106,0.01347,0.85017,0.00049,2.77328,0.94201,8.0435,0.43455,1.23362,0.01525,0.63398,0.61121,0.0,0.09112,0.3943,0.0,0.0,0.0,0.53909,1.0,0.0,0.0
0.28068,0.01168,0.01332,0.92913,0.00028,2.94111,0.75979,8.13948,0.38691,0.88916,0.01472,0.52439,0.56719,0.0,0.09232,0.47991,0.0,0.0,0.0,0.49816,0.67722,0.0,0.0
0.30199,0.00987,0.01011,0.93355,0.00047,3.0,0.8,7.2418,0.4801,1.32321,0.01469,0.70722,0.4778,0.0,0.09918,0.45574,0.0,0.0,0.0,0.49336,1.0,0.0,0.0
0.29177,0.00999,0.01484,0.84198,0.0005,2.95121,0.92787,7.66587,0.42897,1.23489,0.01651,0.61523,0.61124,0.0,0.07949,0.39891,0.0,0.0,0.0,0.4875,0.9905,0.0,0.0
0.3073,0.01065,0.01333,0.84601,0.0005,2.70611,0.92792,7.88794,0.44718,1.2272,0.01572,0.63778,0.61314,0.0,0.09221,0.39992,0.0,0.0,0.0,0.5561,0.99505,0.0,0.0
0.29477,0.01067,0.00897,0.9112,0.00047,3.08415,0.78776,6.59497,0.43014,1.30647,0.01451,0.68283,0.50301,0.0,0.11045,0.48728,0.0,0.0,0.0,0.51629,1.0,0.0,0.0
0.28879,0.01111,0.01333,0.8732,0.00045,2.86822,0.79752,7.88794,0.42541,1.06211,0.01435,0.48449,0.55976,0.0,0.092,0.42765,0.0,0.0,0.0,0.58597,0.99505,0.0,0.0
0.31188,0.00859,0.01333,0.93843,0.00055,3.32703,0.92792,7.74792,0.46553,1.33446,0.01339,0.72642,0.60389,0.0,0.09282,0.19468,0.0,0.0,0.0,0.52763,0.80568,0.0,0.0
0.2904,0.00814,0.0149,0.7946,0.00049,2.70611,0.92792,7.86741,0.44718,0.98039,0.01952,0.63778,0.54201,0.0,0.06922,0.30768,0.0,0.0,0.0,0.61033,1.0,0.0,0.0
0.30046,0.00987,0.00811,0.91572,0.0006,2.90794,0.8,8.66747,0.46578,1.32321,0.01574,0.68298,0.3602,0.0,0.09918,0.44266,0.0,0.0,0.0,0.4525,0.68944,0.0,0.0
0.30056,0.00938,0.01267,0.84061,0.00039,2.48447,0.82259,7.54512,0.51675,1.06604,0.01632,0.52415,0.61314,0.0,0.10602,0.39992,0.0,0.0,0.0,0.51161,0.99505,0.0,0.0
0.29944,0.01064,0.01332,0.84601,0.00058,2.71913,0.92926,6.93947,0.42872,1.31946,0.01738,0.70724,0.7053,0.0,0.08465,0.40148,0.0,0.0,0.0,0.52385,1.0,0.0,0.0
0.32943,0.00859,0.01344,0.9347,0.00057,3.43811,0.92792,7.54192,0.47022,1.32768,0.01305,0.72421,0.59622,0.0,0.09419,0.20283,0.0,0.0,0.0,0.52763,0.81025,0.0,0.0
