fitness,lr0,lrf,momentum,weight_decay,warmup_epochs,warmup_momentum,box,cls,dfl,hsv_h,hsv_s,hsv_v,degrees,translate,scale,shear,perspective,flipud,fliplr,mosaic,mixup,copy_paste
0.45595,0.01,0.01,0.937,0.0005,3.0,0.8,7.5,0.5,1.5,0.015,0.7,0.4,0.0,0.1,0.5,0.0,0.0,0.0,0.5,1.0,0.0,0.0
0.45789,0.01006,0.01007,0.94064,0.00049,2.9953,0.8,7.4138,0.49947,1.52407,0.01491,0.69864,0.40204,0.0,0.1,0.50176,0.0,0.0,0.0,0.49609,0.99591,0.0,0.0
0.45635,0.01016,0.01023,0.93235,0.0005,2.81172,0.78719,7.7178,0.49947,1.57067,0.01458,0.71058,0.40925,0.0,0.09921,0.50176,0.0,0.0,0.0,0.49609,0.99833,0.0,0.0
0.45882,0.01006,0.00961,0.94064,0.00046,2.71264,0.78919,7.4138,0.47444,1.61761,0.01369,0.77108,0.48913,0.0,0.10447,0.54013,0.0,0.0,0.0,0.49609,0.99591,0.0,0.0
0.44838,0.00995,0.00969,0.93805,0.00047,2.72356,0.83166,7.14013,0.47444,1.63183,0.01348,0.74278,0.49107,0.0,0.10743,0.54493,0.0,0.0,0.0,0.49609,0.99591,0.0,0.0
0.45783,0.00979,0.01023,0.94639,0.00053,2.81172,0.78719,7.35153,0.52436,1.57067,0.01409,0.72392,0.37872,0.0,0.09983,0.53687,0.0,0.0,0.0,0.44369,0.99569,0.0,0.0
0.46241,0.01006,0.00961,0.87343,0.00046,3.62524,0.78919,9.17759,0.4187,1.22873,0.01217,0.9,0.50265,0.0,0.09597,0.43309,0.0,0.0,0.0,0.37606,1.0,0.0,0.0
0.46772,0.01006,0.00919,0.94064,0.00046,2.84895,0.80052,7.4138,0.48577,1.44783,0.01369,0.77108,0.49417,0.0,0.10713,0.49667,0.0,0.0,0.0,0.51838,0.9865,0.0,0.0
0.45419,0.01006,0.00908,0.94725,0.00046,2.9816,0.78535,7.2393,0.48577,1.28244,0.01525,0.78499,0.49417,0.0,0.10074,0.49667,0.0,0.0,0.0,0.51838,0.91182,0.0,0.0
0.4573,0.01046,0.00945,0.90264,0.00043,2.70264,0.95,7.89063,0.48577,1.73556,0.01242,0.65022,0.55089,0.0,0.10713,0.49667,0.0,0.0,0.0,0.51838,0.86464,0.0,0.0
0.46748,0.0099,0.00897,0.84582,0.00045,3.58458,0.81886,9.80796,0.50191,1.33679,0.01214,0.9,0.50265,0.0,0.09121,0.37493,0.0,0.0,0.0,0.37853,1.0,0.0,0.0
0.44453,0.01211,0.00828,0.82181,0.00044,3.66078,0.92246,7.40201,0.67633,1.65655,0.01445,0.9,0.58716,0.0,0.09143,0.29178,0.0,0.0,0.0,0.42923,0.76037,0.0,0.0
0.46453,0.00982,0.00897,0.85983,0.00044,3.26455,0.81886,9.46192,0.52937,1.34095,0.01194,0.87213,0.51237,0.0,0.09128,0.37852,0.0,0.0,0.0,0.38144,1.0,0.0,0.0
0.46217,0.0099,0.00897,0.8503,0.00045,3.77234,0.8223,10.01329,0.53627,1.3335,0.01185,0.9,0.52363,0.0,0.09092,0.3746,0.0,0.0,0.0,0.37853,1.0,0.0,0.0
0.45677,0.01115,0.0117,0.84582,0.00035,3.19029,0.81886,9.60308,0.6702,1.42134,0.00973,0.9,0.50265,0.0,0.10204,0.3715,0.0,0.0,0.0,0.35072,1.0,0.0,0.0
0.46249,0.01016,0.01007,0.8582,0.00044,4.35093,0.78919,9.17759,0.4187,1.27724,0.01282,0.9,0.50265,0.0,0.07846,0.42485,0.0,0.0,0.0,0.39109,1.0,0.0,0.0
0.45622,0.00731,0.01023,0.78721,0.00053,3.91845,0.84405,9.22066,0.60581,1.47449,0.01279,0.9,0.50998,0.0,0.06937,0.45875,0.0,0.0,0.0,0.40117,0.90456,0.0,0.0
0.46278,0.01005,0.0092,0.94068,0.00046,2.85275,0.8009,7.41143,0.48556,1.44783,0.0137,0.77072,0.49425,0.0,0.10702,0.49694,0.0,0.0,0.0,0.51831,0.9865,0.0,0.0
0.47421,0.00989,0.00898,0.84805,0.00045,3.57402,0.8319,9.80683,0.50191,1.31679,0.01226,0.9,0.48918,0.0,0.09396,0.37753,0.0,0.0,0.0,0.37464,1.0,0.0,0.0
0.45531,0.01006,0.00926,0.94064,0.00046,2.8439,0.80052,7.44525,0.49059,1.44388,0.01369,0.78298,0.49692,0.0,0.10655,0.49667,0.0,0.0,0.0,0.51838,0.99262,0.0,0.0
0.45516,0.01,0.00788,0.84805,0.00046,3.61555,0.8319,10.50003,0.50191,1.33707,0.01164,0.89535,0.49169,0.0,0.09139,0.35221,0.0,0.0,0.0,0.37464,0.99684,0.0,0.0
0.45007,0.01138,0.00898,0.84805,0.00045,2.92852,0.95,10.17251,0.46134,1.18965,0.01018,0.9,0.4048,0.0,0.1078,0.33893,0.0,0.0,0.0,0.40706,1.0,0.0,0.0
0.46836,0.01091,0.01045,0.81117,0.00045,3.71406,0.7473,7.0998,0.62943,1.19196,0.01226,0.84871,0.42634,0.0,0.07651,0.37753,0.0,0.0,0.0,0.37357,1.0,0.0,0.0
0.45904,0.01091,0.01015,0.81117,0.00052,2.62124,0.78272,8.2035,0.65213,0.93945,0.01342,0.62293,0.51279,0.0,0.09068,0.21426,0.0,0.0,0.0,0.37357,1.0,0.0,0.0
0.45526,0.01012,0.00919,0.92595,0.00047,2.84154,0.80116,7.4138,0.491,1.40005,0.01321,0.77108,0.50561,0.0,0.10713,0.49621,0.0,0.0,0.0,0.51951,0.99293,0.0,0.0
0.4515,0.00797,0.00796,0.97071,0.00043,3.13387,0.71019,6.63107,0.3788,1.53988,0.01364,0.77108,0.52731,0.0,0.10048,0.50702,0.0,0.0,0.0,0.54024,0.90878,0.0,0.0
0.46307,0.00989,0.00888,0.84223,0.00044,3.54376,0.8319,9.44549,0.50641,1.40094,0.0122,0.9,0.48918,0.0,0.09711,0.38177,0.0,0.0,0.0,0.33455,0.95213,0.0,0.0
0.46595,0.00974,0.00874,0.84913,0.00045,3.45415,0.89479,9.91754,0.47003,1.31679,0.01201,0.85404,0.48664,0.0,0.10012,0.40824,0.0,0.0,0.0,0.37922,1.0,0.0,0.0
0.45765,0.01034,0.00822,0.85357,0.00045,3.57402,0.83445,9.53114,0.45574,1.30424,0.01226,0.9,0.49856,0.0,0.09947,0.37829,0.0,0.0,0.0,0.37464,1.0,0.0,0.0
0.45626,0.0096,0.00898,0.85093,0.00044,3.44285,0.84587,9.66609,0.5068,1.32465,0.012,0.9,0.48501,0.0,0.09396,0.38376,0.0,0.0,0.0,0.38369,0.985,0.0,0.0
0.46151,0.01091,0.00896,0.81021,0.00045,4.2248,0.87493,8.09296,0.63113,1.09621,0.01226,0.9,0.47303,0.0,0.07713,0.36597,0.0,0.0,0.0,0.3527,1.0,0.0,0.0
0.45748,0.00905,0.00954,0.80792,0.00034,3.57402,0.8319,9.54215,0.50582,1.18387,0.01321,0.9,0.47104,0.0,0.09396,0.38726,0.0,0.0,0.0,0.39033,1.0,0.0,0.0
0.46758,0.01032,0.0101,0.84025,0.00041,3.40663,0.91509,9.49037,0.50191,1.73899,0.01055,0.9,0.49579,0.0,0.1208,0.37461,0.0,0.0,0.0,0.3484,1.0,0.0,0.0
0.4616,0.01034,0.00898,0.87303,0.00036,3.57402,0.8319,9.80683,0.47225,1.31679,0.01226,0.9,0.40265,0.0,0.05833,0.37014,0.0,0.0,0.0,0.25682,1.0,0.0,0.0
0.46646,0.00989,0.0108,0.84805,0.00051,3.57402,0.88002,8.23268,0.32697,1.25966,0.01226,0.9,0.40334,0.0,0.10514,0.37753,0.0,0.0,0.0,0.37464,1.0,0.0,0.0
0.45015,0.01006,0.00744,0.77822,0.00041,4.27065,0.95,10.46797,0.64552,1.25885,0.01117,0.9,0.43498,0.0,0.09396,0.41984,0.0,0.0,0.0,0.442,0.91152,0.0,0.0
0.45462,0.0099,0.00777,0.94064,0.00046,3.11351,0.95,6.15046,0.48577,1.44783,0.0126,0.44957,0.38317,0.0,0.09954,0.49667,0.0,0.0,0.0,0.49509,1.0,0.0,0.0
0.45423,0.00947,0.00833,0.8402,0.00035,3.23607,0.8319,10.47101,0.45183,1.14793,0.0122,0.76415,0.48918,0.0,0.09154,0.36576,0.0,0.0,0.0,0.34134,1.0,0.0,0.0
0.4744,0.00989,0.00902,0.84766,0.00045,3.55232,0.82905,9.79601,0.50331,1.3123,0.01217,0.9,0.49025,0.0,0.09466,0.37639,0.0,0.0,0.0,0.37692,1.0,0.0,0.0
0.44803,0.00989,0.00902,0.81454,0.00043,3.91858,0.76908,9.79601,0.51795,1.22107,0.01217,0.89743,0.51691,0.0,0.09859,0.42868,0.0,0.0,0.0,0.39966,1.0,0.0,0.0
0.4698,0.00975,0.00952,0.85803,0.00044,3.55232,0.94901,9.56698,0.49107,1.19286,0.01191,0.9,0.42199,0.0,0.09672,0.39036,0.0,0.0,0.0,0.37811,0.94676,0.0,0.0
0.46369,0.00926,0.0101,0.88724,0.00045,3.44117,0.85881,8.39965,0.50331,1.13586,0.01326,0.9,0.43457,0.0,0.08399,0.36393,0.0,0.0,0.0,0.37692,0.97407,0.0,0.0
0.45603,0.00989,0.00961,0.84805,0.00045,4.38371,0.69693,9.80683,0.54075,1.31679,0.01199,0.88048,0.4259,0.0,0.08218,0.447,0.0,0.0,0.0,0.3335,1.0,0.0,0.0
0.4485,0.00827,0.00807,0.84134,0.00043,3.8243,0.89393,9.80683,0.46706,1.62365,0.01209,0.9,0.48918,0.0,0.10369,0.43731,0.0,0.0,0.0,0.37464,0.91036,0.0,0.0
0.46059,0.00958,0.0096,0.85803,0.00044,3.60894,0.95,9.56698,0.49107,1.19275,0.01191,0.9,0.41359,0.0,0.09696,0.3837,0.0,0.0,0.0,0.37157,0.95251,0.0,0.0
0.44926,0.00985,0.0095,0.84766,0.00043,3.49649,0.86402,9.29378,0.49281,1.30812,0.01313,0.81163,0.49025,0.0,0.09218,0.32942,0.0,0.0,0.0,0.37692,1.0,0.0,0.0
0.46659,0.00963,0.00898,0.84805,0.00046,3.5486,0.82653,9.95639,0.50957,1.30533,0.01225,0.9,0.48186,0.0,0.09291,0.37738,0.0,0.0,0.0,0.36503,1.0,0.0,0.0
0.45129,0.01267,0.00952,0.86189,0.00054,3.13166,0.93516,6.60892,0.55363,1.05333,0.01397,0.61063,0.5121,0.0,0.13173,0.38948,0.0,0.0,0.0,0.43713,1.0,0.0,0.0
0.45833,0.00975,0.00887,0.84459,0.00045,3.5686,0.8319,9.91403,0.49602,1.32941,0.01219,0.9,0.48918,0.0,0.09292,0.38238,0.0,0.0,0.0,0.37152,1.0,0.0,0.0
0.45689,0.00975,0.00975,0.85215,0.00044,3.54246,0.94901,9.76345,0.49046,1.2016,0.01191,0.8947,0.42275,0.0,0.09762,0.38913,0.0,0.0,0.0,0.3787,0.93076,0.0,0.0
0.45691,0.00999,0.00921,0.84805,0.00037,3.77127,0.83794,9.80683,0.51044,1.40619,0.01259,0.82803,0.47968,0.0,0.09396,0.36445,0.0,0.0,0.0,0.33817,0.93835,0.0,0.0
0.46094,0.00989,0.00819,0.88735,0.00045,3.55232,0.8378,9.79601,0.52997,1.10734,0.01244,0.9,0.46569,0.0,0.09368,0.38163,0.0,0.0,0.0,0.37924,0.9911,0.0,0.0
0.46772,0.01104,0.00877,0.84545,0.00046,3.57402,0.82543,9.80683,0.47375,1.42683,0.01234,0.9,0.48918,0.0,0.0897,0.37753,0.0,0.0,0.0,0.38965,0.99044,0.0,0.0
0.46671,0.00886,0.00887,0.82033,0.0004,3.37591,0.95,8.14275,0.56894,1.13925,0.01447,0.9,0.48212,0.0,0.08965,0.39246,0.0,0.0,0.0,0.37464,1.0,0.0,0.0
0.46698,0.01091,0.01077,0.74484,0.00037,4.30388,0.41912,8.12751,0.64094,1.28702,0.01097,0.87061,0.48402,0.0,0.08683,0.36652,0.0,0.0,0.0,0.26876,1.0,0.0,0.0
0.46196,0.01142,0.01125,0.88288,0.00055,4.9691,0.86162,10.27809,0.53291,1.31679,0.01459,0.71658,0.48918,0.0,0.1059,0.37753,0.0,0.0,0.0,0.34427,1.0,0.0,0.0
0.4573,0.01041,0.00812,0.82888,0.0005,3.37236,0.84796,9.11691,0.5682,1.33368,0.01217,0.86393,0.46698,0.0,0.08372,0.358,0.0,0.0,0.0,0.36116,1.0,0.0,0.0
0.46756,0.00989,0.00873,0.85234,0.00039,3.38445,0.87046,10.11662,0.46395,1.31679,0.01143,0.9,0.47673,0.0,0.09396,0.37753,0.0,0.0,0.0,0.41377,1.0,0.0,0.0
0.4701,0.00989,0.00898,0.84799,0.00045,3.57468,0.83224,9.81002,0.50193,1.31692,0.01226,0.89961,0.48916,0.0,0.09396,0.37756,0.0,0.0,0.0,0.37464,1.0,0.0,0.0
0.46116,0.00966,0.00902,0.84766,0.00046,3.59507,0.83097,9.78428,0.50175,1.3123,0.0121,0.9,0.47821,0.0,0.09306,0.38382,0.0,0.0,0.0,0.37335,0.97463,0.0,0.0
0.46694,0.00989,0.00899,0.84799,0.00044,3.5043,0.84646,9.81002,0.51952,1.31215,0.01199,0.89961,0.48695,0.0,0.09396,0.36529,0.0,0.0,0.0,0.37464,1.0,0.0,0.0
0.45786,0.00736,0.00902,0.85158,0.00044,2.20409,0.94901,9.5786,0.393,1.00621,0.0147,0.79466,0.41019,0.0,0.09672,0.47736,0.0,0.0,0.0,0.48532,0.95245,0.0,0.0
0.44311,0.01113,0.0081,0.84766,0.00045,3.55232,0.74308,11.59381,0.53076,1.3123,0.01123,0.86996,0.5777,0.0,0.08794,0.37639,0.0,0.0,0.0,0.4142,1.0,0.0,0.0
0.46724,0.00909,0.01042,0.84805,0.00045,3.4074,0.78867,9.59949,0.4546,1.31679,0.01085,0.9,0.48071,0.0,0.09454,0.38197,0.0,0.0,0.0,0.37464,1.0,0.0,0.0
0.47575,0.00994,0.00884,0.84692,0.00045,3.52684,0.83312,9.68663,0.50047,1.27884,0.01233,0.9,0.49043,0.0,0.09466,0.37354,0.0,0.0,0.0,0.37456,1.0,0.0,0.0
0.46257,0.00976,0.00887,0.85231,0.00045,3.60066,0.82964,10.01604,0.50543,1.3123,0.01204,0.9,0.49604,0.0,0.09466,0.36911,0.0,0.0,0.0,0.38034,1.0,0.0,0.0
0.45651,0.00981,0.00884,0.84317,0.00045,3.58236,0.82299,9.85738,0.50047,1.24531,0.01233,0.9,0.50141,0.0,0.08918,0.38627,0.0,0.0,0.0,0.36599,0.9856,0.0,0.0
0.46546,0.00986,0.00902,0.85626,0.00044,3.58017,0.82905,9.65512,0.49773,1.34823,0.01217,0.89807,0.48771,0.0,0.09626,0.38109,0.0,0.0,0.0,0.38645,1.0,0.0,0.0
0.45674,0.01141,0.00707,0.85236,0.00048,3.57273,0.83312,11.20494,0.50047,1.12654,0.01232,0.9,0.47121,0.0,0.07766,0.30494,0.0,0.0,0.0,0.40021,1.0,0.0,0.0
0.46664,0.01107,0.00896,0.86334,0.00039,3.57402,0.92252,8.96403,0.54335,1.31679,0.01508,0.77566,0.50836,0.0,0.09313,0.38122,0.0,0.0,0.0,0.38218,1.0,0.0,0.0
