fitness,lr0,lrf,momentum,weight_decay,warmup_epochs,warmup_momentum,box,cls,dfl,hsv_h,hsv_s,hsv_v,degrees,translate,scale,shear,perspective,flipud,fliplr,mosaic,mixup,copy_paste
0.44153,0.01,0.01,0.937,0.0005,3.0,0.8,7.5,0.5,1.5,0.015,0.7,0.4,0.0,0.1,0.5,0.0,0.0,0.0,0.5,1.0,0.0,0.0
0.44899,0.01,0.01,0.937,0.0005,3.2216,0.84544,7.91786,0.51354,1.44697,0.01269,0.9,0.34806,0.0,0.09953,0.5,0.0,0.0,0.0,0.55247,1.0,0.0,0.0
0.44195,0.01023,0.01022,0.92907,0.0005,3.7635,0.77638,8.73717,0.51354,1.39259,0.01442,0.9,0.34738,0.0,0.09747,0.47593,0.0,0.0,0.0,0.53072,1.0,0.0,0.0
0.44835,0.01,0.01037,0.91936,0.0005,3.29297,0.84544,7.49946,0.5146,1.49074,0.01269,0.85307,0.33888,0.0,0.09197,0.49971,0.0,0.0,0.0,0.56727,0.93229,0.0,0.0
0.45105,0.00936,0.00855,0.92897,0.0005,3.0855,0.86265,7.48428,0.53,1.44697,0.01076,0.9,0.34806,0.0,0.10118,0.54152,0.0,0.0,0.0,0.56484,1.0,0.0,0.0
0.45269,0.00841,0.00934,0.92002,0.00052,3.37092,0.86521,7.84486,0.51977,1.47379,0.01269,0.9,0.2929,0.0,0.09781,0.60629,0.0,0.0,0.0,0.55247,1.0,0.0,0.0
0.45174,0.00951,0.00868,0.89475,0.00053,2.82287,0.74236,6.63499,0.56511,1.43508,0.01338,0.9,0.40832,0.0,0.10118,0.55015,0.0,0.0,0.0,0.60252,0.81439,0.0,0.0
0.43607,0.00912,0.00874,0.93841,0.00054,2.99581,0.86948,7.84486,0.56061,1.33233,0.0125,0.9,0.2929,0.0,0.10727,0.74999,0.0,0.0,0.0,0.51385,0.95288,0.0,0.0
0.44589,0.00694,0.00946,0.94061,0.0005,3.0855,0.84782,7.28276,0.49511,1.44697,0.01153,0.9,0.36925,0.0,0.10622,0.5151,0.0,0.0,0.0,0.62391,1.0,0.0,0.0
0.44846,0.01041,0.00993,0.79055,0.00045,2.63929,0.55051,6.63499,0.57898,1.5539,0.01063,0.81814,0.40832,0.0,0.11046,0.55015,0.0,0.0,0.0,0.60524,0.81439,0.0,0.0
0.43632,0.00956,0.00868,0.89493,0.00053,2.84833,0.74544,6.63404,0.56285,1.43508,0.01337,0.9,0.41153,0.0,0.10163,0.55261,0.0,0.0,0.0,0.60673,0.81439,0.0,0.0
