                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                  1.567,                 1.0839,                 1.2297,                0.80608,                 0.7619,                0.83774,                0.62774,                0.87129,                0.69317,                0.95038,              0.0051914,              0.0051914,              0.0051914
                     36,                 1.5644,                 1.0769,                 1.2274,                0.83801,                 0.7647,                0.84901,                0.63515,                0.87748,                0.67481,                0.94875,                0.00505,                0.00505,                0.00505
                     37,                 1.5567,                 1.0676,                 1.2214,                0.81226,                0.77564,                0.83972,                0.62683,                0.87803,                0.68237,                0.94707,              0.0049086,              0.0049086,              0.0049086
                     38,                 1.5512,                  1.057,                 1.2219,                0.84066,                0.74628,                0.84305,                0.63304,                0.86708,                0.69239,                0.94911,              0.0047671,              0.0047671,              0.0047671
                     39,                 1.5413,                 1.0598,                 1.2159,                0.79482,                0.77543,                0.84121,                0.63208,                0.87042,                0.68443,                0.94715,              0.0046257,              0.0046257,              0.0046257
                     40,                   1.54,                 1.0383,                 1.2169,                0.80964,                0.75266,                0.84322,                0.63511,                0.85715,                0.67252,                0.94509,              0.0044843,              0.0044843,              0.0044843
                     41,                 1.5276,                 1.0413,                   1.21,                0.81319,                0.77134,                0.84777,                0.63858,                0.85867,                0.66519,                0.94066,              0.0043429,              0.0043429,              0.0043429
                     42,                 1.5167,                 1.0251,                 1.2001,                0.82077,                0.77033,                0.84565,                0.64191,                0.84698,                0.66467,                0.94065,              0.0042014,              0.0042014,              0.0042014
                     43,                 1.5145,                 1.0186,                 1.2027,                0.80678,                0.77112,                 0.8429,                0.63638,                0.85415,                0.67776,                0.94246,                0.00406,                0.00406,                0.00406
                     44,                 1.5056,                 1.0139,                 1.1976,                0.79936,                0.78602,                0.84526,                0.64799,                0.83807,                0.65328,                0.93159,              0.0039186,              0.0039186,              0.0039186
                     45,                 1.5112,                 1.0188,                 1.2015,                0.81448,                0.76451,                0.84924,                 0.6472,                0.84311,                0.65915,                0.93839,              0.0037771,              0.0037771,              0.0037771
                     46,                 1.4934,                 1.0086,                 1.1941,                0.84701,                0.72735,                0.84393,                0.64037,                0.84935,                0.66158,                0.93693,              0.0036357,              0.0036357,              0.0036357
                     47,                 1.4853,                0.99623,                  1.186,                0.81348,                0.78479,                0.85187,                0.64925,                 0.8429,                0.65922,                0.93632,              0.0034943,              0.0034943,              0.0034943
                     48,                 1.4851,                0.98753,                  1.188,                0.82942,                0.76503,                0.85172,                0.64682,                0.84302,                0.65577,                0.93567,              0.0033529,              0.0033529,              0.0033529
                     49,                 1.4809,                0.98727,                 1.1844,                 0.8271,                0.76803,                0.84935,                0.64628,                 0.8439,                0.64719,                0.93447,              0.0032114,              0.0032114,              0.0032114
                     50,                 1.4656,                0.97522,                 1.1741,                0.81872,                 0.7691,                0.85243,                0.65271,                0.83922,                0.64441,                 0.9332,                0.00307,                0.00307,                0.00307
                     51,                 1.4645,                0.97216,                 1.1781,                0.81698,                0.78561,                0.85858,                0.65769,                0.83648,                 0.6446,                0.93391,              0.0029286,              0.0029286,              0.0029286
                     52,                 1.4543,                0.96632,                 1.1709,                0.82834,                0.76457,                0.85605,                0.65584,                0.84549,                0.64626,                0.93501,              0.0027871,              0.0027871,              0.0027871
                     53,                 1.4615,                0.97169,                  1.177,                 0.8056,                0.77897,                0.85264,                 0.6509,                0.83683,                0.64299,                 0.9327,              0.0026457,              0.0026457,              0.0026457
