fitness,lr0,lrf,momentum,weight_decay,warmup_epochs,warmup_momentum,box,cls,dfl,hsv_h,hsv_s,hsv_v,degrees,translate,scale,shear,perspective,flipud,fliplr,mosaic,mixup,copy_paste
0.43384,0.01,0.01,0.937,0.0005,3.0,0.8,7.5,0.5,1.5,0.015,0.7,0.4,0.0,0.1,0.5,0.0,0.0,0.0,0.5,1.0,0.0,0.0
0.42011,0.01076,0.01059,0.98,0.00055,3.60272,0.50022,9.30213,0.44491,1.36245,0.01536,0.84078,0.4,0.0,0.1,0.52849,0.0,0.0,0.0,0.36067,0.98516,0.0,0.0
0.42422,0.01019,0.00868,0.98,0.00042,3.0,0.8,7.5,0.5,1.5,0.01907,0.77514,0.39425,0.0,0.08923,0.5,0.0,0.0,0.0,0.392,1.0,0.0,0.0
0.43774,0.00855,0.00918,0.937,0.00051,3.39763,0.79644,7.42021,0.48353,1.5907,0.01568,0.6031,0.41208,0.0,0.1,0.47223,0.0,0.0,0.0,0.5,1.0,0.0,0.0
0.44789,0.00774,0.00957,0.937,0.00051,3.39763,0.70395,7.42021,0.45323,1.96335,0.01579,0.57981,0.47165,0.0,0.08709,0.54157,0.0,0.0,0.0,0.42599,1.0,0.0,0.0
0.42109,0.01,0.01078,0.9399,0.0005,2.33344,0.70895,6.88904,0.53086,1.39959,0.01693,0.69006,0.44009,0.0,0.08799,0.38845,0.0,0.0,0.0,0.34859,1.0,0.0,0.0
0.43362,0.00855,0.00912,0.94115,0.00049,3.39763,0.78709,7.42021,0.48604,1.64618,0.01525,0.6031,0.41149,0.0,0.10187,0.47924,0.0,0.0,0.0,0.50106,0.99705,0.0,0.0
0.43643,0.00877,0.00918,0.92083,0.0005,3.73257,0.75477,8.12774,0.42623,1.41672,0.01611,0.51663,0.37742,0.0,0.09684,0.45261,0.0,0.0,0.0,0.49235,1.0,0.0,0.0
0.43681,0.00707,0.01008,0.937,0.00054,3.39763,0.66539,7.42021,0.45323,1.73346,0.0144,0.64622,0.47165,0.0,0.0831,0.58334,0.0,0.0,0.0,0.51566,1.0,0.0,0.0
0.43526,0.00757,0.00927,0.96822,0.00055,3.00752,0.62688,7.42021,0.40979,2.03931,0.01369,0.57981,0.48481,0.0,0.09459,0.54708,0.0,0.0,0.0,0.41116,0.91829,0.0,0.0
0.42477,0.00774,0.00799,0.92336,0.00051,3.39763,0.591,7.36846,0.45323,2.33275,0.01579,0.61154,0.47165,0.0,0.08709,0.4139,0.0,0.0,0.0,0.42599,1.0,0.0,0.0
0.4391,0.00723,0.00931,0.96363,0.00049,3.60172,0.73294,7.38745,0.47324,1.97347,0.01579,0.57981,0.47511,0.0,0.08998,0.54335,0.0,0.0,0.0,0.4317,1.0,0.0,0.0
0.43363,0.0085,0.01127,0.937,0.00039,3.99441,0.64808,8.4666,0.51565,1.96335,0.01878,0.60685,0.5111,0.0,0.08555,0.54157,0.0,0.0,0.0,0.61545,1.0,0.0,0.0
0.43952,0.0075,0.00957,0.94243,0.00052,3.46416,0.71132,7.41991,0.44796,1.93649,0.01607,0.59252,0.45618,0.0,0.08709,0.55378,0.0,0.0,0.0,0.42223,0.97241,0.0,0.0
0.43649,0.00756,0.00965,0.93711,0.00052,3.346,0.69924,7.03035,0.45323,2.10875,0.01414,0.54327,0.44927,0.0,0.08709,0.54157,0.0,0.0,0.0,0.48136,0.87086,0.0,0.0
