epoch;train/box_loss;train/cls_loss;train/dfl_loss;metrics/precision(B);metrics/recall(B);metrics/mAP50(B);metrics/mAP50-95(B);val/box_loss;val/cls_loss;val/dfl_loss;lr/pg0;lr/pg1;lr/pg2
45;1.4663;1.1615;1.6126;0.81933;0.77266;0.8513;0.63864;0.7863;0.68922;1.2007;0.0035072;0.0035072;0.0035072
46;1.4676;1.1601;1.6116;0.81229;0.7462;0.83814;0.63495;0.7798;0.69212;1.2024;0.0033757;0.0033757;0.0033757
47;1.4496;1.1467;1.5946;0.79802;0.77808;0.85166;0.64229;0.78345;0.68305;1.199;0.0032443;0.0032443;0.0032443
48;1.441;1.1316;1.5889;0.83334;0.743;0.84092;0.63445;0.78647;0.68044;1.1936;0.0031129;0.0031129;0.0031129
49;1.4381;1.1289;1.5839;0.81878;0.76785;0.84818;0.63143;0.78393;0.68338;1.1927;0.0029814;0.0029814;0.0029814
50;1.43;1.1161;1.5759;0.79049;0.7566;0.83133;0.6273;0.78022;0.68243;1.1921;0.00285;0.00285;0.00285
51;1.421;1.1101;1.5696;0.79822;0.77131;0.84191;0.62425;0.78282;0.68212;1.1898;0.0027186;0.0027186;0.0027186
52;1.4246;1.1078;1.5683;0.8352;0.7473;0.85252;0.63705;0.78647;0.68091;1.1906;0.0025872;0.0025872;0.0025872
53;1.4181;1.098;1.5746;0.79667;0.78651;0.84954;0.65633;0.7879;0.68027;1.1949;0.0024557;0.0024557;0.0024557
54;1.4174;1.0895;1.5708;0.82657;0.74915;0.84943;0.63395;0.78554;0.68166;1.1912;0.0023243;0.0023243;0.0023243
55;1.4107;1.0907;1.56;0.80513;0.77853;0.85722;0.64962;0.77901;0.67076;1.1864;0.0021929;0.0021929;0.0021929
56;1.4006;1.0852;1.5513;0.81611;0.75401;0.84072;0.64419;0.78212;0.66502;1.1884;0.0020614;0.0020614;0.0020614
57;1.3929;1.0708;1.5436;0.83224;0.77936;0.85965;0.64855;0.78414;0.66882;1.1868;0.00193;0.00193;0.00193
58;1.3956;1.0728;1.545;0.82125;0.773;0.84903;0.64945;0.7787;0.66961;1.1851;0.0017986;0.0017986;0.0017986
59;1.385;1.0601;1.5356;0.82893;0.77376;0.85713;0.65725;0.78088;0.66901;1.1857;0.0016672;0.0016672;0.0016672
60;1.3815;1.0605;1.538;0.85162;0.75482;0.85574;0.6529;0.78508;0.66997;1.1846;0.0015357;0.0015357;0.0015357
61;1.3328;1.0068;1.5372;0.83601;0.76072;0.84663;0.64896;0.78565;0.67313;1.184;0.0014043;0.0014043;0.0014043
62;1.3253;0.98962;1.5312;0.81608;0.78408;0.85712;0.66278;0.78483;0.6722;1.1827;0.0012729;0.0012729;0.0012729
63;1.3168;0.98326;1.5266;0.82192;0.77333;0.85072;0.65642;0.78572;0.66891;1.1824;0.0011414;0.0011414;0.0011414
64;1.3069;0.97139;1.5127;0.80592;0.78398;0.85606;0.65998;0.78648;0.66962;1.1809;0.00101;0.00101;0.00101
65;1.3003;0.96235;1.5021;0.83201;0.78157;0.85645;0.66003;0.78441;0.67026;1.1792;0.00087859;0.00087859;0.00087859
66;1.2972;0.95657;1.5021;0.81061;0.79215;0.86679;0.66168;0.78297;0.66498;1.1775;0.00074716;0.00074716;0.00074716
67;1.2875;0.94645;1.4925;0.80871;0.82031;0.87133;0.66519;0.78501;0.66609;1.1777;0.00061573;0.00061573;0.00061573
68;1.287;0.95231;1.4953;0.8251;0.77146;0.86587;0.66202;0.78652;0.66544;1.1783;0.0004843;0.0004843;0.0004843
69;1.2845;0.94818;1.4941;0.84014;0.76571;0.86471;0.66073;0.78836;0.66595;1.1792;0.00035288;0.00035288;0.00035288
70;1.2782;0.94385;1.4884;0.83271;0.78301;0.86742;0.66878;0.78796;0.66797;1.1778;0.00022145;0.00022145;0.00022145
