fitness,lr0,lrf,momentum,weight_decay,warmup_epochs,warmup_momentum,box,cls,dfl,hsv_h,hsv_s,hsv_v,degrees,translate,scale,shear,perspective,flipud,fliplr,mosaic,mixup,copy_paste
0.44725,0.01,0.01,0.937,0.0005,3.0,0.8,7.5,0.5,1.5,0.015,0.7,0.4,0.0,0.1,0.5,0.0,0.0,0.0,0.5,1.0,0.0,0.0
0.44893,0.01057,0.01,0.94015,0.0005,2.86869,0.82291,7.64886,0.53826,1.47222,0.015,0.65286,0.40968,0.0,0.10748,0.5,0.0,0.0,0.0,0.47832,1.0,0.0,0.0
0.44848,0.01092,0.00994,0.93173,0.00049,2.86869,0.86387,7.84657,0.52485,1.40248,0.0158,0.66846,0.39035,0.0,0.11516,0.50924,0.0,0.0,0.0,0.46432,0.95962,0.0,0.0
0.4456,0.01092,0.01009,0.93236,0.00049,2.97685,0.86387,7.7909,0.51722,1.37039,0.01625,0.69103,0.38263,0.0,0.11693,0.50412,0.0,0.0,0.0,0.46468,0.96906,0.0,0.0
0.4615,0.01113,0.01002,0.93981,0.00044,2.97591,0.83791,7.36844,0.52485,1.40248,0.01583,0.66498,0.38402,0.0,0.11516,0.52351,0.0,0.0,0.0,0.46825,0.95962,0.0,0.0
0.46368,0.0093,0.00909,0.92497,0.00054,3.0,0.79209,7.00717,0.40516,1.28956,0.01628,0.71908,0.33577,0.0,0.09608,0.47582,0.0,0.0,0.0,0.47731,1.0,0.0,0.0
0.45852,0.01095,0.01014,0.93842,0.00044,2.97591,0.84167,7.36844,0.52747,1.4077,0.01583,0.66825,0.39123,0.0,0.11586,0.52587,0.0,0.0,0.0,0.4814,0.95933,0.0,0.0
0.45451,0.0093,0.00909,0.93074,0.0005,2.66465,0.74498,6.67007,0.40988,1.32954,0.01642,0.73675,0.31053,0.0,0.08823,0.44169,0.0,0.0,0.0,0.46995,0.96688,0.0,0.0
0.45169,0.01043,0.00909,0.93635,0.00047,3.21937,0.58939,7.3967,0.3623,1.21713,0.01527,0.67108,0.31053,0.0,0.09071,0.49987,0.0,0.0,0.0,0.47011,0.74866,0.0,0.0
0.45169,0.0093,0.0097,0.9136,0.00059,3.23774,0.79209,7.00717,0.34582,1.46546,0.01898,0.79154,0.3191,0.0,0.09608,0.41946,0.0,0.0,0.0,0.48305,1.0,0.0,0.0
